API14,WellName,WellNumber,OperatorAlias,Field,TargetFormation,TotalDepth,VerticalDepth,DrillType,UpperPerforation,LowerPerforation,GrossPerforatedInterval,HorizontalLength,TreatmentJobCount,CumBOE,CumGas,CumOil,First6BOE,FirstProdDate,Township,Range,TR,County
5123404490000,ANSCHUTZ EQUUS FARMS,4-62-15-0857CH2,HIGHPOINT OPERATING CORPORATION,WATTENBERG,NIOBRARA,7321.0,7212.31,H,,,,1033.2,1.0,111320.0,188937.0,79831.0,32155.0,2015-05-01,04N,62W,04N62W,Weld
5123404510000,COFFELT,5-61-35-0108BH2,HIGHPOINT OPERATING CORPORATION,WATTENBERG,OTHER,,,H,,,,9823.6,1.0,90389.0,94965.0,74561.0,36960.0,2015-03-01,05N,61W,05N61W,Weld
5123404540000,TIMBRO RANCH,2-3-9-59,VERDAD RESOURCES LLC,DJ HORIZONTAL NIOBRARA,NIOBRARA,10553.0,6220.0,H,6568.0,10553.0,3985.0,4321.32,1.0,59283.0,76611.0,46515.0,27224.0,2015-05-01,09N,59W,09N59W,Weld
5123404550000,TIMBRO RANCH,1-3-9-59,VERDAD RESOURCES LLC,DJ HORIZONTAL NIOBRARA,NIOBRARA,10558.0,6233.0,H,6602.0,10558.0,3956.0,4325.88,1.0,68097.0,82233.0,54391.0,35894.0,2016-08-01,09N,59W,09N59W,Weld
5123404590000,BURROUGHS NORTH,1,EXTRACTION O&G,WATTENBERG,CODELL,17408.99,7298.14,H,7827.0,17343.0,9516.0,9939.44,2.0,75981.0,104486.0,58567.0,58164.0,2017-07-01,07N,65W,07N65W,Weld
5123404620000,BURROUGHS NORTH,4,EXTRACTION O&G,WATTENBERG,CODELL,12901.0,7283.0,H,7771.0,12856.0,5085.0,5338.41,2.0,45293.0,66756.0,34167.0,33201.0,2017-07-01,07N,65W,07N65W,Weld
5123404630000,RIEDER,18Q-421,PDC ENERGY,WATTENBERG,CODELL,11630.0,7118.0,H,7634.0,11630.0,3996.0,4434.38,2.0,90389.0,272494.0,44973.0,33033.0,2015-10-01,04N,67W,04N67W,Weld
5123404640000,RIEDER,18T-301,PDC ENERGY,WATTENBERG,NIOBRARA,11511.0,7010.0,H,7624.0,11496.0,3872.0,4408.91,1.0,92812.0,259173.0,49616.0,35383.0,2015-10-01,04N,67W,04N67W,Weld
5123404670000,RIEDER,18T-241,PDC ENERGY,WATTENBERG,NIOBRARA,11402.0,6940.0,H,7477.0,11402.0,3925.0,4403.51,1.0,48276.0,123674.0,27664.0,37840.0,2015-10-01,04N,67W,04N67W,Weld
5123404680000,RIEDER,18T-201,PDC ENERGY,WATTENBERG,NIOBRARA,11418.0,6915.4,H,7491.0,11418.0,3927.0,4412.43,1.0,50484.0,142818.0,26681.0,39351.0,2015-10-01,04N,67W,04N67W,Weld
